ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Pins,Contributor,JLCPCB Part Class,LCSC Assembly,SMT Type,image,link
1,X4611WV-05I-C28D40,"H1,H3,H4,H5",HDR-TH_5P-P2.00-V-M,4,X4611WV-05I-C28D40,XKB Connectivity,LCSC,C706994,0.064,5,LCSC,,,,,
2,X4611WV-04I-C28D40,H2,HDR-TH_4P-P2.00-V-M,1,X4611WV-04I-C28D40,XKB Connectivity,LCSC,C706995,0.065,4,LCSC,,,,,
3,THONKICONNNEW,"IN1,OUT1",THONKICONN-TIGHT,2,,,,,,3,rossgrady,,,,,
4,LTST-C235KGKRKT,"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12",LED-SMD_LTST-C235KGKRKT,12,LTST-C235KGKRKT,LITEON,LCSC,C125110,0.061,4,LCSC,Extended Part,,,,https://lcsc.com/eda_search?q=C125110&%26type=1&ref=editor
5,BC847,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,12,2n3904S-RTK/PS,KEC,LCSC,C18536,0.012,3,,,Yes,Extend,//image.lceda.cn/szlcsc/C18536.jpg,
6,10k,"R1,R3,R5,R7,R9,R11,R17,R19,R21,R23,R25,R27,R29",R0805,13,0805W8F1002T5E,UNI-ROYAL,LCSC,C17414,0.001,2,LCEDA_Lib,,,,,
7,4.7kΩ,"R2,R4,R6,R8,R10,R12,R16,R18,R20,R22,R24,R26",R0805,12,0805W8F4701T5E,UNI-ROYAL,LCSC,C17673,0.002,2,,Basic Part,,,,
8,1k,"R13,R14,R15,R28",R0805,4,0805W8F1001T5E,UNI-ROYAL,LCSC,C17513,0.002,2,LCEDA_Lib,,,,,
9,SUBMINI_SPDT,"SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,SP11,SP12",SUBMINI_TOGGLE,12,,,,,,3,rossgrady,,,,,
10,PLPC2-500 ,,,12,PLPC2-500 ,Bivar,Mouser,748-PLPC2500,,,,,,,,https://www.mouser.com/ProductDetail/Bivar/PLPC2-500?qs=bY1dm4K8r4Vcd2dIUCO%252BYQ%3D%3D
